Ad Account ID,Ad Account Name,Inicio del informe,Fin del informe,Nombre de la campaña,Alcance,Impresiones,Comentarios de la publicación,Conversaciones con mensajes iniciadas,Clics (todos),Búsquedas,Visitas a la página de destino,Visualizaciones de contenido,Artículos agregados al carrito,Pagos iniciados,Compras,Valor de conversión de compras,Importe gastado (ARS)
"2,73E+19",Meta Ads,13/1/21,13/1/21,<OFF>  Tráfico [Alimentar Big Data],10198,10530,,,475,7,226,142,4,1,,,559
"2,73E+19",Meta Ads,14/1/21,14/1/21,<OFF>  Tráfico [Alimentar Big Data],11197,11574,,,480,5,216,110,5,,,,468
"2,73E+19",Meta Ads,15/1/21,15/1/21,<OFF>  Tráfico [Alimentar Big Data],12351,12658,,,538,4,250,101,5,,,,435
"2,73E+19",Meta Ads,16/1/21,16/1/21,<OFF>  Tráfico [Alimentar Big Data],2115,2119,,,67,,26,20,2,,,,69
"2,73E+19",Meta Ads,17/1/21,17/1/21,<OFF>  Tráfico [Alimentar Big Data],17184,17599,,,764,7,360,136,7,5,1,2.081,623
"2,73E+19",Meta Ads,18/1/21,18/1/21,<OFF>  Tráfico [Alimentar Big Data],11912,12108,1,,526,3,225,95,3,2,,,415
"2,73E+19",Meta Ads,19/1/21,19/1/21,<OFF>  Tráfico [Alimentar Big Data],11105,11238,,,450,2,187,77,9,3,1,3.465,387
"2,73E+19",Meta Ads,20/1/21,20/1/21,<OFF>  Tráfico [Alimentar Big Data],14319,14583,,,574,9,237,99,11,3,1,2.390,511
"2,73E+19",Meta Ads,21/1/21,21/1/21,<OFF>  Tráfico [Alimentar Big Data],14426,14502,,,564,5,254,104,,,,,516
"2,73E+19",Meta Ads,22/1/21,22/1/21,<OFF>  Tráfico [Alimentar Big Data],12936,13268,,,479,1,241,93,1,,,,477
"2,73E+19",Meta Ads,23/1/21,23/1/21,<OFF>  Tráfico [Alimentar Big Data],12964,13303,,,498,3,232,110,10,3,2,14.208,487
"2,73E+19",Meta Ads,24/1/21,24/1/21,<OFF>  Tráfico [Alimentar Big Data],18572,19117,,,729,2,296,107,,,,,602
"2,73E+19",Meta Ads,25/1/21,25/1/21,<OFF>  Tráfico [Alimentar Big Data],13097,13314,,,522,2,240,98,,,,,470
"2,73E+19",Meta Ads,26/1/21,26/1/21,<OFF>  Tráfico [Alimentar Big Data],8769,8955,,,294,5,123,93,4,1,1,2.062,371
"2,73E+19",Meta Ads,27/1/21,27/1/21,<OFF>  Tráfico [Alimentar Big Data],11221,11445,,,347,2,164,100,2,1,1,3.031,426
"2,73E+19",Meta Ads,28/1/21,28/1/21,<OFF>  Tráfico [Alimentar Big Data],11936,12205,,,343,3,158,94,5,,,,410
"2,73E+19",Meta Ads,29/1/21,29/1/21,<OFF>  Tráfico [Alimentar Big Data],12360,12535,,,369,4,162,132,11,2,,,448
"2,73E+19",Meta Ads,30/1/21,30/1/21,<OFF>  Tráfico [Alimentar Big Data],9337,9337,,,275,1,127,75,3,1,1,2.234,305
"2,73E+19",Meta Ads,31/1/21,31/1/21,<OFF>  Tráfico [Alimentar Big Data],19420,19800,,,659,5,303,143,10,2,,,635
"2,73E+19",Meta Ads,1/2/21,1/2/21,<OFF>  Tráfico [Alimentar Big Data],16816,17026,,,570,2,274,124,7,2,,,544
"2,73E+19",Meta Ads,2/2/21,2/2/21,<OFF>  Tráfico [Alimentar Big Data],15400,15777,,,435,4,215,99,9,3,,,506
"2,73E+19",Meta Ads,3/2/21,3/2/21,<OFF>  Tráfico [Alimentar Big Data],9338,9371,,,237,3,116,66,6,2,2,16.388,332
"2,73E+19",Meta Ads,4/2/21,4/2/21,<OFF>  Tráfico [Alimentar Big Data],15564,15740,,,459,,204,77,4,,,,546
"2,73E+19",Meta Ads,5/2/21,5/2/21,<OFF>  Tráfico [Alimentar Big Data],13793,13793,,,410,,166,110,8,4,,,515
"2,73E+19",Meta Ads,6/2/21,6/2/21,<OFF>  Tráfico [Alimentar Big Data],17004,17617,,,512,7,237,141,12,6,3,9.042,614
"2,73E+19",Meta Ads,7/2/21,7/2/21,<OFF>  Tráfico [Alimentar Big Data],18120,18271,,,520,,211,120,7,2,,,609
"2,73E+19",Meta Ads,8/2/21,8/2/21,<OFF>  Tráfico [Alimentar Big Data],3417,3427,,,90,1,33,36,,,,,108
"2,73E+19",Meta Ads,9/2/21,9/2/21,<OFF>  Tráfico [Alimentar Big Data],15977,16117,,,388,2,155,69,1,,,,488
"2,73E+19",Meta Ads,10/2/21,10/2/21,<OFF>  Tráfico [Alimentar Big Data],19350,19350,,,435,,203,90,5,1,1,1.922,554
